parcela_id,cultivo,lat,lon,fecha,temp_max_c,temp_min_c,temp_media_c,precipitacion_mm,lluvia_mm,humedad_rel_pct,viento_max_kmh,viento_medio_kmh,radiacion_solar_mjm2,et0_mm,fuente,humedad_suelo_m3m3,temp_suelo_c,kc_aplicado,etc_mm,deficit_hidrico_mm
valencia_citricos,citricos,39.079,-0.324,2005-01-01,13.5,3.7,8.1,0.0,0.0,84,12.5,7.4,9.53,1.21,historico_era5,,,0.7,0.85,0.85
valencia_citricos,citricos,39.079,-0.324,2005-01-02,14.3,3.3,7.8,0.0,0.0,82,9.5,7.1,9.63,1.24,historico_era5,,,0.7,0.87,0.87
valencia_citricos,citricos,39.079,-0.324,2005-01-03,11.4,3.0,7.2,0.0,0.0,80,9.5,6.1,9.23,1.13,historico_era5,,,0.7,0.79,0.79
valencia_citricos,citricos,39.079,-0.324,2005-01-04,12.9,5.0,8.0,0.0,0.0,83,9.7,5.3,6.66,0.94,historico_era5,,,0.7,0.66,0.66
valencia_citricos,citricos,39.079,-0.324,2005-01-05,12.5,2.4,7.0,0.0,0.0,83,10.5,7.1,10.17,1.21,historico_era5,,,0.7,0.85,0.85
valencia_citricos,citricos,39.079,-0.324,2005-01-06,13.1,1.1,6.1,0.0,0.0,80,7.9,6.1,10.25,1.28,historico_era5,,,0.7,0.9,0.9
valencia_citricos,citricos,39.079,-0.324,2005-01-07,13.0,1.4,6.5,0.0,0.0,82,8.4,6.3,10.22,1.28,historico_era5,,,0.7,0.9,0.9
valencia_citricos,citricos,39.079,-0.324,2005-01-08,12.7,2.1,6.6,0.0,0.0,85,9.4,6.4,10.22,1.25,historico_era5,,,0.7,0.88,0.88
valencia_citricos,citricos,39.079,-0.324,2005-01-09,11.5,2.6,6.6,0.0,0.0,85,6.8,5.1,9.12,1.11,historico_era5,,,0.7,0.78,0.78
valencia_citricos,citricos,39.079,-0.324,2005-01-10,12.1,2.8,6.9,0.0,0.0,87,7.6,4.5,9.36,1.14,historico_era5,,,0.7,0.8,0.8
valencia_citricos,citricos,39.079,-0.324,2005-01-11,12.1,1.1,6.2,0.0,0.0,85,7.8,5.7,10.45,1.25,historico_era5,,,0.7,0.88,0.88
valencia_citricos,citricos,39.079,-0.324,2005-01-12,12.5,0.5,5.8,0.0,0.0,75,9.0,6.4,10.78,1.31,historico_era5,,,0.7,0.92,0.92
valencia_citricos,citricos,39.079,-0.324,2005-01-13,12.7,2.4,6.9,0.0,0.0,79,9.2,7.1,10.21,1.27,historico_era5,,,0.7,0.89,0.89
valencia_citricos,citricos,39.079,-0.324,2005-01-14,13.4,3.5,7.5,0.0,0.0,88,9.9,6.8,10.36,1.29,historico_era5,,,0.7,0.9,0.9
valencia_citricos,citricos,39.079,-0.324,2005-01-15,12.4,3.3,7.3,0.0,0.0,90,8.9,6.3,9.57,1.16,historico_era5,,,0.7,0.81,0.81
valencia_citricos,citricos,39.079,-0.324,2005-01-16,11.6,4.2,7.9,0.0,0.0,91,6.7,5.0,7.56,0.95,historico_era5,,,0.7,0.66,0.66
valencia_citricos,citricos,39.079,-0.324,2005-01-17,12.7,4.7,8.0,0.0,0.0,86,9.1,7.0,10.49,1.34,historico_era5,,,0.7,0.94,0.94
valencia_citricos,citricos,39.079,-0.324,2005-01-18,15.7,3.5,8.9,0.0,0.0,69,20.5,14.4,11.1,2.16,historico_era5,,,0.7,1.51,1.51
valencia_citricos,citricos,39.079,-0.324,2005-01-19,14.4,5.6,9.8,0.0,0.0,56,27.4,19.5,10.26,2.59,historico_era5,,,0.7,1.81,1.81
valencia_citricos,citricos,39.079,-0.324,2005-01-20,16.7,7.4,11.8,0.0,0.0,65,24.3,12.2,10.84,2.14,historico_era5,,,0.7,1.5,1.5
valencia_citricos,citricos,39.079,-0.324,2005-01-21,18.2,4.7,10.3,0.0,0.0,71,12.7,8.8,11.64,1.83,historico_era5,,,0.7,1.28,1.28
valencia_citricos,citricos,39.079,-0.324,2005-01-22,15.0,3.6,8.8,0.0,0.0,74,9.3,6.9,11.65,1.62,historico_era5,,,0.7,1.13,1.13
valencia_citricos,citricos,39.079,-0.324,2005-01-23,16.0,2.5,8.5,0.0,0.0,78,9.5,6.3,11.36,1.57,historico_era5,,,0.7,1.1,1.1
valencia_citricos,citricos,39.079,-0.324,2005-01-24,11.5,5.2,7.6,0.3,0.3,69,19.1,10.9,10.99,1.69,historico_era5,,,0.7,1.18,0.88
valencia_citricos,citricos,39.079,-0.324,2005-01-25,7.0,2.3,4.2,0.0,0.0,34,32.9,26.6,12.22,3.13,historico_era5,,,0.7,2.19,2.19
valencia_citricos,citricos,39.079,-0.324,2005-01-26,5.3,1.0,2.7,0.0,0.0,34,28.4,21.9,11.73,2.67,historico_era5,,,0.7,1.87,1.87
valencia_citricos,citricos,39.079,-0.324,2005-01-27,5.0,-2.1,1.1,0.0,0.0,50,15.3,9.3,12.72,1.67,historico_era5,,,0.7,1.17,1.17
valencia_citricos,citricos,39.079,-0.324,2005-01-28,7.0,-1.6,1.9,0.0,0.0,54,14.5,10.7,12.89,1.76,historico_era5,,,0.7,1.23,1.23
valencia_citricos,citricos,39.079,-0.324,2005-01-29,12.8,2.8,6.7,0.5,0.5,56,23.8,15.8,12.57,2.22,historico_era5,,,0.7,1.55,1.05
valencia_citricos,citricos,39.079,-0.324,2005-01-30,8.2,2.1,4.9,7.0,7.0,71,12.4,8.0,12.61,1.49,historico_era5,,,0.7,1.04,0.0
valencia_citricos,citricos,39.079,-0.324,2005-01-31,9.4,-0.7,3.8,0.0,0.0,66,10.9,7.0,12.86,1.61,historico_era5,,,0.7,1.13,1.13
valencia_citricos,citricos,39.079,-0.324,2005-02-01,12.2,-0.1,5.0,0.0,0.0,67,11.0,8.8,13.01,1.72,historico_era5,,,0.7,1.2,1.2
valencia_citricos,citricos,39.079,-0.324,2005-02-02,10.7,1.6,6.0,0.0,0.0,81,10.1,7.8,8.07,1.08,historico_era5,,,0.7,0.76,0.76
valencia_citricos,citricos,39.079,-0.324,2005-02-03,11.2,2.3,6.1,0.0,0.0,85,10.5,7.6,12.27,1.47,historico_era5,,,0.7,1.03,1.03
valencia_citricos,citricos,39.079,-0.324,2005-02-04,10.9,2.2,6.4,0.9,0.9,87,13.8,6.7,10.14,1.23,historico_era5,,,0.7,0.86,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-05,10.4,3.8,6.5,0.6,0.6,87,8.4,5.4,9.86,1.23,historico_era5,,,0.7,0.86,0.26
valencia_citricos,citricos,39.079,-0.324,2005-02-06,9.2,2.1,5.7,4.1,4.1,87,12.8,6.2,10.32,1.2,historico_era5,,,0.7,0.84,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-07,10.4,3.7,7.0,7.9,7.9,85,15.3,8.3,8.68,1.14,historico_era5,,,0.7,0.8,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-08,11.3,5.8,8.2,11.7,11.7,88,22.2,12.7,8.31,1.05,historico_era5,,,0.7,0.74,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-09,10.2,7.1,8.2,24.9,24.9,91,23.5,17.7,6.26,0.74,historico_era5,,,0.7,0.52,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-10,13.3,4.8,8.6,1.9,1.9,82,10.5,7.5,13.19,1.73,historico_era5,,,0.7,1.21,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-11,16.2,3.0,8.7,0.0,0.0,71,15.4,9.3,14.58,2.23,historico_era5,,,0.7,1.56,1.56
valencia_citricos,citricos,39.079,-0.324,2005-02-12,18.7,4.3,10.6,0.0,0.0,57,16.0,10.9,13.35,2.68,historico_era5,,,0.7,1.88,1.88
valencia_citricos,citricos,39.079,-0.324,2005-02-13,19.1,7.4,12.8,0.0,0.0,51,24.1,17.1,14.82,3.63,historico_era5,,,0.7,2.54,2.54
valencia_citricos,citricos,39.079,-0.324,2005-02-14,13.2,5.2,9.5,0.0,0.0,43,32.5,24.3,15.16,3.69,historico_era5,,,0.7,2.58,2.58
valencia_citricos,citricos,39.079,-0.324,2005-02-15,11.1,4.8,7.6,0.0,0.0,44,34.3,24.9,14.84,3.38,historico_era5,,,0.7,2.37,2.37
valencia_citricos,citricos,39.079,-0.324,2005-02-16,9.5,2.1,5.3,0.0,0.0,46,27.9,18.1,15.11,2.72,historico_era5,,,0.7,1.9,1.9
valencia_citricos,citricos,39.079,-0.324,2005-02-17,8.1,-0.2,4.1,0.0,0.0,58,10.7,8.4,15.86,2.11,historico_era5,,,0.7,1.48,1.48
valencia_citricos,citricos,39.079,-0.324,2005-02-18,11.5,-1.2,5.2,0.0,0.0,68,11.4,6.4,16.19,2.09,historico_era5,,,0.7,1.46,1.46
valencia_citricos,citricos,39.079,-0.324,2005-02-19,14.1,0.2,6.3,0.0,0.0,64,13.2,10.1,16.13,2.28,historico_era5,,,0.7,1.6,1.6
valencia_citricos,citricos,39.079,-0.324,2005-02-20,13.0,4.7,8.2,0.0,0.0,56,23.0,16.4,12.5,2.53,historico_era5,,,0.7,1.77,1.77
valencia_citricos,citricos,39.079,-0.324,2005-02-21,7.7,2.3,5.6,0.0,0.0,56,14.7,8.4,13.28,1.95,historico_era5,,,0.7,1.36,1.36
valencia_citricos,citricos,39.079,-0.324,2005-02-22,13.1,0.3,5.7,0.0,0.0,57,27.0,15.4,13.93,2.48,historico_era5,,,0.7,1.74,1.74
valencia_citricos,citricos,39.079,-0.324,2005-02-23,8.4,4.6,6.2,6.4,6.4,81,11.9,8.4,6.69,0.96,historico_era5,,,0.7,0.67,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-24,7.3,4.6,5.7,2.9,2.9,87,15.5,9.7,6.93,0.9,historico_era5,,,0.7,0.63,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-25,7.7,3.3,5.3,5.6,5.6,78,16.3,11.6,7.08,1.07,historico_era5,,,0.7,0.75,0.0
valencia_citricos,citricos,39.079,-0.324,2005-02-26,12.1,0.0,5.7,0.0,0.0,65,14.6,8.6,17.29,2.27,historico_era5,,,0.7,1.59,1.59
valencia_citricos,citricos,39.079,-0.324,2005-02-27,10.0,2.5,6.1,0.0,0.0,60,11.3,8.6,11.11,1.81,historico_era5,,,0.7,1.27,1.27
valencia_citricos,citricos,39.079,-0.324,2005-02-28,6.1,2.4,3.8,11.5,7.6,77,30.5,19.9,6.82,0.98,historico_era5,,,0.7,0.69,0.0
valencia_citricos,citricos,39.079,-0.324,2005-03-01,5.2,2.3,3.6,11.0,9.5,76,31.7,24.4,8.01,1.26,historico_era5,,,0.7,0.88,0.0
valencia_citricos,citricos,39.079,-0.324,2005-03-02,9.1,2.7,5.4,2.4,2.4,81,15.1,9.2,9.46,1.24,historico_era5,,,0.7,0.87,0.0
valencia_citricos,citricos,39.079,-0.324,2005-03-03,12.3,3.6,7.8,0.1,0.1,67,14.9,11.2,14.12,2.16,historico_era5,,,0.7,1.51,1.41
valencia_citricos,citricos,39.079,-0.324,2005-03-04,8.5,4.1,6.4,5.5,5.5,65,22.6,13.7,11.32,1.85,historico_era5,,,0.7,1.3,0.0
valencia_citricos,citricos,39.079,-0.324,2005-03-05,15.6,-0.3,7.0,0.0,0.0,55,17.7,13.0,18.4,2.97,historico_era5,,,0.7,2.08,2.08
valencia_citricos,citricos,39.079,-0.324,2005-03-06,12.8,4.8,8.4,0.0,0.0,54,21.7,13.9,18.0,2.98,historico_era5,,,0.7,2.09,2.09
valencia_citricos,citricos,39.079,-0.324,2005-03-07,8.2,1.3,4.8,0.0,0.0,54,15.8,9.6,19.55,2.58,historico_era5,,,0.7,1.81,1.81
valencia_citricos,citricos,39.079,-0.324,2005-03-08,10.2,-1.1,4.5,0.0,0.0,69,12.0,7.3,19.26,2.33,historico_era5,,,0.7,1.63,1.63
valencia_citricos,citricos,39.079,-0.324,2005-03-09,15.6,-0.3,7.1,0.0,0.0,70,9.7,6.4,19.77,2.73,historico_era5,,,0.7,1.91,1.91
valencia_citricos,citricos,39.079,-0.324,2005-03-10,13.5,1.5,7.7,0.0,0.0,80,9.9,7.4,19.54,2.52,historico_era5,,,0.7,1.76,1.76
